date,spy_close,sso_close,sma200,spread,buy_threshold,sell_threshold,spy_20d_volatility,trend_signal,trend_state,signal,position,target_spy_pct,target_sso_pct,target_cash_pct,reason,spy_daily_return,sso_daily_return,strategy_return,strategy_value,spy_benchmark_value,strategy_drawdown,spy_drawdown,spread_cycle,cycle_high_floor,cycle_max_spread,cycle_max_date,in_cycle_high_range,vix_close
2006-06-21,86.562714,3.643157,86.651463,-0.001024,87.517977,85.784948,0.163179,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,,,,,,15.52
2006-06-22,86.181892,3.604434,86.661698,-0.005537,87.528315,85.795081,0.161256,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",-0.004399,-0.010629,0.0,1000.0,995.600632,0.0,-0.004399,,,,,,15.88
2006-06-23,86.168053,3.603924,86.67115,-0.005805,87.537861,85.804438,0.154062,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",-0.000161,-0.000141,0.0,1000.0,995.440751,0.0,-0.004559,,,,,,15.89
2006-06-26,86.548904,3.624814,86.6839,-0.001557,87.550739,85.817061,0.153728,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.00442,0.005797,0.0,1000.0,999.840472,0.0,-0.00016,,,,,,15.62
2006-06-27,85.80101,3.560613,86.68917,-0.010245,87.556062,85.822278,0.143678,No Action,Cash,No Action,Cash,0.0,0.0,1.0,Hold Cash: SPY remains below the lower SMA200 band.,-0.008641,-0.017712,0.0,1000.0,991.200559,0.0,-0.008799,,,,,,16.4
2006-06-28,86.382683,3.592203,86.698198,-0.003639,87.56518,85.831216,0.139678,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.006779,0.008872,0.0,1000.0,997.920227,0.0,-0.00208,,,,,,15.79
2006-06-29,88.12767,3.744553,86.718298,0.016252,87.585481,85.851115,0.154496,Buy SSO,SSO,Rebalance to 50% SSO / 50% SPY,50% SSO / 50% SPY,0.5,0.5,0.0,"Buy SSO: SPY adjusted close is above SMA200 × 1.01. Volatility is 15.45%, above 15% through 25%; target 50% SSO / 50% SPY.",0.020201,0.042411,0.0,1000.0,1018.078877,0.0,0.0,1,0.016954,0.019951,2006-07-03,False,13.03
2006-06-30,88.134605,3.742516,86.739963,0.016078,87.607363,85.872564,0.154246,No Action,SSO,No Action,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.42%, above 15% through 25%; target 50% SSO / 50% SPY.",7.9e-05,-0.000544,-0.000233,999.767377,1018.158994,-0.000233,0.0,1,0.016954,0.019951,2006-07-03,False,13.08
2006-07-03,88.494629,3.793469,86.763632,0.019951,87.631269,85.895996,0.145486,No Action,SSO,Rebalance to SSO,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.55%, at or below 15%; target 100% SSO.",0.004085,0.013615,0.00885,1008.615185,1022.3181,0.0,0.0,1,0.016954,0.019951,2006-07-03,True,13.05
2006-07-05,87.989159,3.743027,86.781796,0.013913,87.649614,85.913978,0.146829,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.68%, at or below 15%; target 100% SSO.",-0.005712,-0.013297,-0.013297,995.203381,1016.478746,-0.013297,-0.005712,1,0.016954,0.019951,2006-07-03,False,14.15
2006-07-06,88.245369,3.754745,86.802641,0.016621,87.670668,85.934615,0.144065,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.41%, at or below 15%; target 100% SSO.",0.002912,0.003131,0.003131,998.318932,1019.43857,-0.010208,-0.002817,1,0.016954,0.019951,2006-07-03,False,13.65
2006-07-07,87.670616,3.711434,86.824164,0.009749,87.692406,85.955923,0.14635,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"No action: SPY is between the bands, so the prior SSO position persists. Volatility is 14.64%, at or below 15%; target 100% SSO.",-0.006513,-0.011535,-0.011535,986.803476,1012.798842,-0.021625,-0.009311,1,0.016954,0.019951,2006-07-03,False,13.97
2006-07-10,87.836838,3.71806,86.850412,0.011358,87.718916,85.981908,0.145718,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.57%, at or below 15%; target 100% SSO.",0.001896,0.001785,0.001785,988.565181,1014.719087,-0.019879,-0.007433,1,0.016954,0.019951,2006-07-03,False,14.02
2006-07-11,88.224571,3.749649,86.87713,0.01551,87.745901,86.008358,0.139391,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.94%, at or below 15%; target 100% SSO.",0.004414,0.008496,0.008496,996.964136,1019.198308,-0.011552,-0.003052,1,0.016954,0.019951,2006-07-03,False,13.14
2006-07-12,87.28289,3.675767,86.898797,0.00442,87.767785,86.029809,0.138243,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"No action: SPY is between the bands, so the prior SSO position persists. Volatility is 13.82%, at or below 15%; target 100% SSO.",-0.010674,-0.019704,-0.019704,977.320152,1008.31971,-0.031028,-0.013693,1,0.016954,0.019951,2006-07-03,False,14.49
2006-07-13,85.863365,3.56469,86.912889,-0.012076,87.782018,86.043761,0.150003,Sell to Cash,Cash,Move to Cash,Cash,0.0,0.0,1.0,Sell SSO: SPY adjusted close is below SMA200 × 0.99.,-0.016263,-0.030219,-0.030219,947.786823,991.920904,-0.060309,-0.029734,1,0.016954,0.019951,2006-07-03,False,17.790001
2006-07-14,85.530968,3.532592,86.925422,-0.016042,87.794676,86.056168,0.128928,No Action,Cash,No Action,Cash,0.0,0.0,1.0,Hold Cash: SPY remains below the lower SMA200 band.,-0.003871,-0.009004,0.0,947.786823,988.080943,-0.060309,-0.03349,,,,,,18.049999
2006-07-17,85.406334,3.529022,86.936921,-0.017606,87.80629,86.067552,0.126672,No Action,Cash,No Action,Cash,0.0,0.0,1.0,Hold Cash: SPY remains below the lower SMA200 band.,-0.001457,-0.001011,0.0,947.786823,986.641134,-0.060309,-0.034898,,,,,,18.639999
2006-07-18,85.84256,3.534627,86.947221,-0.012705,87.816693,86.077749,0.125027,No Action,Cash,No Action,Cash,0.0,0.0,1.0,Hold Cash: SPY remains below the lower SMA200 band.,0.005108,0.001588,0.0,947.786823,991.680554,-0.060309,-0.029969,,,,,,17.74
2006-07-19,87.033615,3.655897,86.962178,0.000821,87.8318,86.092556,0.133856,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.013875,0.034309,0.0,947.786823,1005.440004,-0.060309,-0.01651,,,,,,15.55
2006-07-20,86.438095,3.613096,86.97566,-0.006181,87.845417,86.105904,0.133902,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",-0.006842,-0.011708,0.0,947.786823,998.560367,-0.060309,-0.023239,,,,,,16.209999
2006-07-21,85.828712,3.556028,86.990808,-0.013359,87.860716,86.1209,0.135369,No Action,Cash,No Action,Cash,0.0,0.0,1.0,Hold Cash: SPY remains below the lower SMA200 band.,-0.00705,-0.015795,0.0,947.786823,991.520585,-0.060309,-0.030125,,,,,,17.4
2006-07-24,87.393684,3.668633,87.019212,0.004303,87.889404,86.14902,0.15031,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.018234,0.031666,0.0,947.786823,1009.599639,-0.060309,-0.012441,,,,,,14.98
2006-07-25,87.705292,3.715002,87.050642,0.00752,87.921148,86.180135,0.150063,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.003566,0.012639,0.0,947.786823,1013.199426,-0.060309,-0.00892,,,,,,14.85
2006-07-26,87.822968,3.722136,87.08126,0.008517,87.952072,86.210447,0.145943,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",0.001342,0.00192,0.0,947.786823,1014.558854,-0.060309,-0.00759,,,,,,14.62
2006-07-27,87.739891,3.68647,87.114912,0.007174,87.986061,86.243763,0.1446,No Action,Cash,No Action,Cash,0.0,0.0,1.0,"No action: SPY is between the bands, so the prior Cash position persists.",-0.000946,-0.009582,0.0,947.786823,1013.599128,-0.060309,-0.008529,,,,,,14.94
2006-07-28,88.619339,3.770542,87.153542,0.016819,88.025077,86.282006,0.130314,Buy SSO,SSO,Rebalance to SSO,SSO,0.0,1.0,0.0,"Buy SSO: SPY adjusted close is above SMA200 × 1.01. Volatility is 13.03%, at or below 15%; target 100% SSO.",0.010023,0.022806,0.0,947.786823,1023.75879,-0.060309,0.0,2,0.093422,0.099393,2007-06-01,False,14.33
2006-07-31,88.529274,3.76035,87.194897,0.015303,88.066846,86.322948,0.130398,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.04%, at or below 15%; target 100% SSO.",-0.001016,-0.002703,-0.002703,945.22492,1022.718331,-0.062849,-0.001016,2,0.093422,0.099393,2007-06-01,False,14.95
2006-08-01,88.093071,3.72672,87.234311,0.009844,88.106655,86.361968,0.130811,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"No action: SPY is between the bands, so the prior SSO position persists. Volatility is 13.08%, at or below 15%; target 100% SSO.",-0.004927,-0.008943,-0.008943,936.771441,1017.679175,-0.07123,-0.005939,2,0.093422,0.099393,2007-06-01,False,15.05
2006-08-02,88.688591,3.755254,87.272468,0.016226,88.145193,86.399743,0.131325,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.13%, at or below 15%; target 100% SSO.",0.00676,0.007657,0.007657,943.944028,1024.558812,-0.064119,0.0,2,0.093422,0.099393,2007-06-01,False,14.34
