cycle_years,start_year,end_year,start_date,end_date,strategy_final,spy_final,spmo_final,strategy_return,spy_return,spmo_return,strategy_cagr,spy_cagr,spmo_cagr,strategy_max_drawdown,spy_max_drawdown,spmo_max_drawdown,strategy_beat_spmo,strategy_beat_spy
3,2015,2017,2015-10-12,2017-12-29,1425.937763,1388.477663,1407.34402,0.425938,0.388478,0.407344,0.125555,0.115611,0.120642,-0.214644,-0.128208,-0.110316,True,True
3,2016,2018,2016-01-04,2018-12-31,1429.098525,1300.779669,1356.713934,0.429099,0.30078,0.356714,0.126386,0.091611,0.107039,-0.26789,-0.193488,-0.233911,True,True
3,2017,2019,2017-01-03,2019-12-31,1619.525616,1524.079697,1594.104523,0.619526,0.52408,0.594105,0.174346,0.150807,0.168169,-0.274101,-0.193488,-0.233911,True,True
3,2018,2020,2018-01-02,2020-12-31,1300.757406,1481.823822,1594.598674,0.300757,0.481824,0.594599,0.091605,0.140072,0.168289,-0.274101,-0.337173,-0.309475,False,False
3,2019,2021,2019-01-02,2021-12-31,2314.506411,1998.880763,1971.566256,1.314506,0.998881,0.971566,0.322775,0.259686,0.253922,-0.221415,-0.337173,-0.309475,True,True
3,2020,2022,2020-01-02,2022-12-30,1396.777392,1246.399545,1402.015575,0.396777,0.2464,0.402016,0.11783,0.076182,0.119226,-0.221415,-0.337173,-0.309475,False,True
3,2021,2023,2021-01-04,2023-12-29,1332.409669,1329.030353,1289.652763,0.33241,0.32903,0.289653,0.100388,0.099457,0.08849,-0.296919,-0.244965,-0.227362,True,True
3,2022,2024,2022-01-03,2024-12-31,1269.717547,1289.359047,1535.054921,0.269718,0.289359,0.535055,0.082852,0.088407,0.153563,-0.296919,-0.244965,-0.227362,False,False
3,2023,2025,2023-01-03,2025-12-31,1866.579467,1854.963027,2169.857935,0.866579,0.854963,1.169858,0.231257,0.228698,0.294624,-0.199059,-0.187551,-0.201272,False,True
5,2015,2019,2015-10-12,2019-12-31,1599.789097,1738.760399,1755.982313,0.599789,0.73876,0.755982,0.098532,0.116987,0.119191,-0.274101,-0.193488,-0.233911,False,False
5,2016,2020,2016-01-04,2020-12-31,2210.283115,2019.820958,2183.4424,1.210283,1.019821,1.183442,0.171897,0.150966,0.169037,-0.274101,-0.337173,-0.309475,True,True
5,2017,2021,2017-01-03,2021-12-31,2809.924298,2321.566676,2495.779713,1.809924,1.321567,1.49578,0.229529,0.183467,0.200719,-0.274101,-0.337173,-0.309475,True,True
5,2018,2022,2018-01-02,2022-12-30,1567.073474,1560.839059,1749.333863,0.567073,0.560839,0.749334,0.094001,0.09313,0.118342,-0.274101,-0.337173,-0.309475,False,True
5,2019,2023,2019-01-02,2023-12-29,2060.741469,2063.687976,2075.516771,1.060741,1.063688,1.075517,0.155592,0.155923,0.157245,-0.296919,-0.337173,-0.309475,False,False
5,2020,2024,2020-01-02,2024-12-31,2202.99707,1964.026556,2403.329816,1.202997,0.964027,1.40333,0.171124,0.144536,0.191688,-0.296919,-0.337173,-0.309475,False,True
5,2021,2025,2021-01-04,2025-12-31,2248.741507,1953.875153,2380.414599,1.248742,0.953875,1.380415,0.175947,0.14335,0.189407,-0.296919,-0.244965,-0.227362,False,True
