cycle,status,buy_date,sell_date,duration_trading_days,min_spread,high_range_floor,max_spread,max_spread_date,high_range_days,current_spread,current_in_high_range
1,closed,2006-06-29,2006-07-13,10,-0.012075,0.016954,0.019951,2006-07-03,1,,
2,closed,2006-07-28,2007-08-14,263,-0.01065,0.093422,0.099392,2007-06-01,27,,
3,closed,2007-08-22,2007-11-09,57,-0.015669,0.060404,0.071202,2007-10-09,6,,
4,closed,2007-12-06,2007-12-17,8,-0.020155,0.023946,0.028951,2007-12-10,1,,
5,closed,2007-12-24,2007-12-31,5,-0.010214,0.012779,0.013457,2007-12-26,1,,
6,closed,2009-06-01,2010-05-20,246,-0.020191,0.190002,0.21548,2009-10-15,25,,
7,closed,2010-06-15,2010-06-24,8,-0.026621,0.013925,0.014262,2010-06-18,1,,
8,closed,2010-08-02,2010-08-11,8,-0.015333,0.018408,0.018784,2010-08-04,1,,
9,closed,2010-09-13,2011-08-02,225,-0.017974,0.130485,0.160289,2011-02-18,23,,
10,closed,2011-10-27,2011-11-01,4,-0.035761,0.016322,0.016418,2011-10-27,1,,
11,closed,2011-11-08,2011-11-09,2,-0.026264,0.007154,0.010868,2011-11-08,1,,
12,closed,2011-12-23,2012-11-14,224,-0.010391,0.103343,0.129829,2012-03-26,23,,
13,closed,2012-11-19,2014-10-15,480,-0.014069,0.107098,0.136991,2013-05-17,48,,
14,closed,2014-10-21,2015-08-20,210,-0.012188,0.069632,0.079277,2014-11-26,21,,
15,closed,2015-10-23,2015-11-13,16,-0.012072,0.027713,0.030746,2015-11-03,2,,
16,closed,2015-11-18,2015-12-11,17,-0.016388,0.020927,0.026198,2015-12-01,2,,
17,closed,2015-12-16,2015-12-18,3,-0.019313,0.010703,0.01378,2015-12-16,1,,
18,closed,2015-12-29,2016-01-04,4,-0.01467,0.014315,0.016492,2015-12-29,1,,
19,closed,2016-03-11,2018-10-24,662,-0.03338,0.083932,0.147152,2018-01-26,67,,
20,closed,2018-11-07,2018-11-14,6,-0.014315,0.02368,0.024618,2018-11-07,1,,
21,closed,2018-12-03,2018-12-04,2,-0.015349,0.014367,0.017669,2018-12-03,1,,
22,closed,2019-02-13,2020-02-27,262,-0.016196,0.100598,0.123404,2020-02-12,27,,
23,closed,2020-03-02,2020-03-06,5,-0.018476,0.028323,0.03298,2020-03-04,1,,
24,closed,2020-05-27,2022-01-25,421,-0.01185,0.159734,0.178493,2020-12-04,43,,
25,closed,2022-01-31,2022-02-17,14,-0.012442,0.033653,0.037749,2022-02-02,2,,
26,closed,2022-03-22,2022-04-11,15,-0.012734,0.030215,0.039228,2022-03-29,2,,
27,closed,2022-11-30,2022-12-06,5,-0.018608,0.014056,0.014185,2022-11-30,1,,
28,closed,2023-01-13,2023-01-19,4,-0.01175,0.010821,0.011165,2023-01-13,1,,
29,closed,2023-01-23,2023-03-10,34,-0.013251,0.055685,0.064521,2023-02-02,4,,
30,closed,2023-03-16,2023-10-26,156,-0.018961,0.118939,0.135817,2023-07-19,16,,
31,closed,2023-11-02,2025-03-10,337,-0.016032,0.133286,0.154803,2024-07-16,34,,
32,closed,2025-05-12,2026-03-20,216,-0.012111,0.114346,0.135231,2025-10-28,22,,
33,open,2026-04-08,,55,0.024016,0.110559,0.117225,2026-06-02,6,0.069766,False
